YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201304,73487,444415,1,.88,"SW","HUTCHINSON",38.06,-97.93,383600,9755800
201304,73487,444416,1,.69,"N","BEAUMONT",37.66,-96.53,3739600,9631800
201304,73487,444417,1,2.3,"WSW","DERBY",37.54,-97.31,3732400,9718600
201304,73487,444418,1,.55,"E","HOWARD",37.47,-96.26,3728200,9615600
201305,73491,444421,1,0,"N","CHAUTAUQUA",37.02,-96.18,371200,9610800
201305,73491,444422,1,0,"N","SEDAN",37.13,-96.18,377800,9610800
201305,73491,444423,1,0,"N","SEDAN",37.13,-96.18,377800,9610800
201305,73491,444424,1,.55,"E","EUREKA",37.82,-96.29,3749200,9617400
201305,73491,444425,1,.55,"E","INDEPENDENCE",37.23,-95.71,3713800,9542600
201305,73491,444426,1,.55,"E","ARKANSAS CITY",37.07,-97.04,374200,972400
201305,73491,444427,1,1.38,"S","ELLINWOOD",38.33,-98.58,3819800,9834800
201305,73491,444428,1,.88,"SW","STERLING",38.21,-98.21,3812600,9812600
201305,73491,444429,1,5.12,"NE","LORRAINE",38.62,-98.25,3837200,9815000
201305,73491,444430,1,.69,"N","ELLSWORTH",38.74,-98.23,3844400,9813800
201305,73491,444431,1,2.55,"WSW","LINCOLN",39.01,-98.19,39600,9811400
201305,73491,444432,1,0,"N","CHAUTAUQUA",37.02,-96.18,371200,9610800
201305,73491,444433,1,2.14,"NNE","EUREKA ARPT",37.88,-96.29,3752800,9617400
201305,73491,444434,1,4.18,"N","HAMILTON",38.04,-96.16,382400,969600
201305,73491,444435,1,.88,"NE","THAYER",37.49,-95.47,3729400,9528200
201306,73492,444439,1,1.81,"WSW","NARANJOS",36.16,-105.01,369600,105600
201306,73492,444440,1,.89,"SW","PENDARIES",35.82,-105.41,3549200,10524600
201306,73492,444441,1,5.78,"NNE","LOGAN",35.45,-103.38,3527000,10322800
201306,73492,444442,1,3.5,"N","PORTER",35.26,-103.32,3515600,10319200
201306,73492,444443,1,0,"N","PORTER",35.21,-103.31,3512600,10318600
201306,73492,444444,1,3.14,"ESE","PORTER",35.19,-103.26,3511400,10315600
201306,73492,444445,1,.89,"SW","BARD",35.13,-103.25,357800,10315000
201306,73492,444446,1,1.83,"ESE","BARD",35.13,-103.21,357800,10312600
201306,73492,444447,1,.69,"N","TEXICO",34.39,-103.05,3423400,1033000
201306,73492,444448,1,.57,"E","(CVS)CANNON AFB",34.38,-103.31,3422800,10318600
201306,73492,444449,1,3.14,"ESE","PORTER",35.19,-103.26,3511400,10315600
201306,73492,444450,1,1.33,"ENE","FT SUMNER",34.48,-104.22,3428800,10413200
201306,73492,444451,1,.9,"NE","(CVS)CANNON AFB",34.39,-103.31,3423400,10318600
201306,73492,444452,1,.69,"N","TEXICO",34.39,-103.05,3423400,1033000
201306,73492,444453,1,4.87,"N","ACME",33.65,-104.32,3339000,10419200
201306,73492,444454,1,3.5,"S","RANCHVALE",34.45,-103.31,3427000,10318600
201306,73492,444455,1,.57,"E","(CVN)CLOVIS MUNI AIRPORT",34.43,-103.07,3425800,1034200
201306,73492,444456,1,1.85,"WSW","DORA",33.92,-103.36,3355200,10321600
201306,73492,444457,1,4.09,"E","MILNESAND",33.65,-103.27,3339000,10316200
201306,73492,444458,1,3.98,"SW","FLOYD",34.18,-103.63,3410800,10337800
201306,73492,444471,1,10,"ESE","(TCC)TUCUMCARI ARPT",35.1246,-103.4365,357476,10326190
201306,73492,444948,1,8.4,"ESE","PORTALES",34.1335,-103.1943,348010,10311658
201306,73493,444470,1,2,"NE","FRIONA",34.6505,-102.7051,3439030,10242306
201306,73493,444872,1,0,"N","FRIONA",34.63,-102.73,3437800,10243800
201306,73493,444873,1,0,"N","FARWELL",34.38,-103.03,3422800,1031800
201306,73493,444875,1,2,"SSW","MULESHOE",34.1933,-102.7434,3411598,10244604
201306,73493,444876,1,3,"W","SPRINGLAKE",34.23,-102.3525,3413800,10221150
201306,73493,444877,1,6,"S","OLTON",34.0932,-102.13,345592,1027800
201306,73493,444878,1,3,"N","PLAINS",33.2234,-102.83,3313404,10249800
201306,73493,444879,1,7,"WNW","DENVER CITY",33.0088,-102.9616,33528,10257696
201306,73493,444941,1,1,"ENE","MORTON",33.7255,-102.7539,3343530,10245234
201306,73493,444942,1,4,"S","LEVELLAND",33.5221,-102.37,3331326,10222200
201306,73493,444943,1,6,"SSW","ANTON",33.7398,-102.21,3344388,10212600
201306,73493,444944,1,6,"SSW","ANTON",33.7398,-102.21,3344388,10212600
201306,73493,444945,1,.9,"SW","REESE VLG",33.59,-102.03,3335400,1021800
201306,73493,444946,1,.9,"SW","REESE VLG",33.59,-102.03,3335400,1021800
201306,73493,444947,1,6,"SSW","WOLFFORTH",33.4198,-102.0598,3325188,1023588
201306,73493,445001,1,4.03,"WSW","(LBB)LUBBOCK INTL AR",33.64,-101.88,3338400,10152800
201306,73493,445001,2,3.5,"S","LUBBOCK",33.53,-101.86,3331800,10151600
201306,73493,445002,1,3.5,"N","POSEY",33.53,-101.69,3331800,10141400
201306,73493,445002,2,.77,"E","SLATON",33.4304,-101.6366,3325824,10138196
201306,73493,445003,1,3,"NNE","TAHOKA",33.2201,-101.7601,3313206,10145606
201306,73493,445004,1,8.57,"ENE","JUSTICEBURG",33.07,-101.06,334200,1013600
201306,73493,445005,1,6.23,"NNE","KALGARY",33.48,-101.1,3328800,1016000
201306,73493,445006,1,4,"NE","ROPESVILLE",33.4609,-102.1009,3327654,1026054
201306,73493,445837,1,0,"N","LORENZO",33.67,-101.53,3340200,10131800
201305,73494,444472,1,0,"N","CANTON",44.6,-75.17,4436000,7510200
201305,73494,444473,1,0,"N","LAKE PLACID",44.28,-73.98,4416800,7358800
201305,73494,444474,1,.69,"N","PAUL SMITHS",44.44,-74.25,4426400,7415000
201305,73495,444475,1,0,"N","JERICHO",44.5,-73,4430000,7300
201305,73495,444476,1,2.3,"NNE","RICHMOND",44.43,-72.98,4425800,7258800
201305,73496,444477,1,0,"N","LAKE PLACID",44.28,-73.98,4416800,7358800
201305,73496,444478,1,2.4,"SE","INGRAHAM",44.78,-73.39,4446800,7323400
201305,73496,444479,1,.69,"N","MORRISTOWN",44.59,-75.65,4435400,7539000
201305,73496,444480,1,0,"N","CANTON",44.6,-75.17,4436000,7510200
201305,73496,444481,1,0,"N","LISBON",44.73,-75.32,4443800,7519200
201305,73496,444482,1,.49,"W","NORFOLK",44.8,-74.99,4448000,7459400
201305,73496,444483,1,0,"N","POTSDAM",44.67,-74.98,4440200,7458800
201305,73496,444484,1,.69,"N","COLTON",44.56,-74.93,4433600,7455800
201305,73496,444485,1,2.02,"NW","CHATEAUGAY",44.94,-74.1,4456400,746000
201306,73585,460311,4,1.78,"WNW","CHESTERBROOK",40.0799,-75.4811,404794,7528866
201305,73504,444743,2,.32,"ESE","ELDON",38.3485,-92.5743,3820910,9234458
201305,73504,444743,3,.88,"E","ELDON",38.3502,-92.5639,3821012,9233834
201305,73504,444743,4,1,"E","ELDON",38.3501,-92.5615,3821006,9233690
201305,73504,444744,1,0,"N","STOCKTON",37.7,-93.8,3742000,9348000
201305,73504,444744,2,.08,"NW","STOCKTON",37.701,-93.8009,3742060,9348054
201305,73504,444744,3,.29,"ENE","STOCKTON",37.7011,-93.7948,3742066,9347688
201305,73504,444744,4,.35,"E","STOCKTON",37.7001,-93.7936,3742006,9347616
201305,73504,444745,1,3.62,"NNW","GRAVOIS MILLS",38.37,-92.84,3822200,9250400
201305,73504,444745,2,3.48,"NNW","GRAVOIS MILLS",38.3685,-92.8374,3822110,9250244
201305,73504,444745,3,3.51,"NNW","GRAVOIS MILLS",38.3695,-92.8347,3822170,9250082
201305,73504,444745,4,3.71,"NNW","GRAVOIS MILLS",38.3717,-92.8388,3822302,9250328
201305,73504,444746,1,2.65,"SE","MULROY",37.22,-93.14,3713200,938400
201305,73504,444746,2,2.77,"N","SPRINGFIELD BAR H AR",37.22,-93.1342,3713200,938052
201305,73504,444746,3,2.74,"SE","MULROY",37.2224,-93.1343,3713344,938058
201305,73504,444746,4,2.59,"SE","MULROY",37.2225,-93.1381,3713350,938286
201305,73504,444747,1,1.49,"SSE","ELWOOD",37.21,-93.42,3712600,9325200
201305,73504,444747,2,1.41,"S","ELWOOD",37.21,-93.4252,3712600,9325512
201305,73504,444747,3,1.18,"SSE","ELWOOD",37.2136,-93.4238,3712816,9325428
201305,73504,444747,4,1.26,"SSE","ELWOOD",37.2136,-93.4201,3712816,9325206
201305,73504,444748,1,.82,"SW","WALNUT GROVE",37.411,-93.5596,3724660,9333576
201305,73504,444748,2,.75,"SW","WALNUT GROVE",37.4124,-93.5598,3724744,9333588
201305,73504,444748,3,.64,"SW","WALNUT GROVE",37.4123,-93.5566,3724738,9333396
201305,73504,444748,4,.7,"SSW","WALNUT GROVE",37.4111,-93.5562,3724666,9333372
201305,73504,444749,1,1.58,"ENE","HARTVILLE",37.2563,-92.4925,3715378,9229550
201305,73504,444749,2,1.4,"E","HARTVILLE",37.2537,-92.4949,3715222,9229694
201305,73504,444749,3,1.14,"ENE","HARTVILLE",37.2555,-92.5004,3715330,9230024
201305,73504,444749,4,1.5,"ENE","HARTVILLE",37.2591,-92.4953,3715546,9229718
201305,73504,444750,1,1.62,"SE","MUMFORD",37.162,-93.2011,379720,9312066
201305,73504,444750,2,1.55,"SW","CHERRY VLY ESTATES",37.1617,-93.1963,379702,9311778
201305,73504,444750,3,1.8,"ENE","SEQUIOTA",37.1572,-93.1986,379432,9311916
201305,73504,444750,4,1.67,"ENE","SEQUIOTA",37.1564,-93.2007,379384,9312042
201305,73504,444751,1,2.26,"SW","LEBANON",37.6582,-92.7008,3739492,9242048
201305,73504,444751,2,2.32,"SW","LEBANON",37.6554,-92.6989,3739324,9241934
201305,73504,444751,3,2.47,"SW","LEBANON",37.6547,-92.7019,3739282,9242114
201305,73504,444751,4,2.37,"SW","LEBANON",37.6578,-92.703,3739468,9242180
201305,73504,444752,1,2.75,"E","BATTLEFIELD",37.12,-93.33,377200,9319800
201305,73504,444753,1,.69,"S","HALLTOWN",37.19,-93.63,3711400,9337800
201305,73504,444754,1,1.1,"E","STOTTS CITY",37.1,-93.95,376000,9357000
201305,73504,444755,1,.55,"E","HARTVILLE",37.25,-92.51,3715000,9230600
201305,73504,444756,1,.93,"SSE","MARSHFIELD",37.3186,-92.911,3719116,9254660
201305,73504,444756,2,1.01,"SSE","MARSHFIELD",37.3167,-92.9126,3719002,9254756
201305,73504,444756,3,.86,"SSE","MARSHFIELD",37.3184,-92.9145,3719104,9254870
201305,73504,444756,4,.82,"SSE","MARSHFIELD",37.3197,-92.9126,3719182,9254756
201305,73504,444758,1,2.76,"NNE","STOTTS CITY",37.1356,-93.9475,378136,9356850
201305,73504,444758,2,2.88,"SSW","PHELPS",37.1426,-93.9431,378556,9356586
201305,73504,444758,3,2.86,"SE","RESCUE",37.1461,-93.9502,378766,9357012
201305,73504,444758,4,2.72,"NNE","STOTTS CITY",37.1376,-93.9555,378256,9357330
201305,73504,444784,1,.7,"WNW","JASPER",37.3325,-94.3324,3719950,9419944
201305,73504,444784,2,1.9,"W","JASPER",37.3339,-94.3542,3720034,9421252
201305,73504,444784,3,2.96,"WSW","JASPER",37.309,-94.3671,3718540,9422026
201305,73504,444784,4,2.43,"SW","JASPER",37.3096,-94.3561,3718576,9421366
201305,73504,444785,1,.88,"SW","GRAVOIS MILLS",38.31,-92.83,3818600,9249800
201305,73504,444786,1,.88,"SW","GRAVOIS MILLS",38.31,-92.83,3818600,9249800
201305,73504,444787,1,.55,"E","JOPLIN",37.08,-94.51,374800,9430600
201305,73504,444787,2,.68,"E","JOPLIN",37.0798,-94.5077,374788,9430462
201305,73504,444787,3,.69,"E","JOPLIN",37.0793,-94.5076,374758,9430456
201305,73504,444787,4,.57,"E","JOPLIN",37.0794,-94.5096,374764,9430576
201305,73504,444788,1,.88,"SW","GRAVOIS MILLS",38.31,-92.83,3818600,9249800
201305,73504,444789,1,2.63,"SW","MORA",38.49,-93.25,3829400,9315000
201305,73504,444790,1,7.18,"W","ZWANZIG",38.31,-93.06,3818600,933600
201305,73504,444791,1,2.76,"N","STOCKTON",37.74,-93.8,3744400,9348000
201305,73504,444792,1,1.29,"ESE","CAPLINGER MILLS",37.79,-93.8,3747400,9348000
201305,73504,444793,1,.69,"N","URBANA",37.84,-93.17,3750400,9310200
201305,73504,444794,1,3.09,"ENE","WHITE CHURCH",36.87,-91.73,3652200,9143800
201305,73504,444795,1,1.29,"ESE","EDGAR SPGS",37.69,-91.85,3741400,9151000
201305,73504,444796,1,.55,"E","OLDEN",36.87,-91.91,3652200,9154600
201305,73504,444797,1,.69,"N","MARVIN",38.43,-92.77,3825800,9246200
201305,73504,444798,1,.69,"S","LINCOLN",38.39,-93.33,3823400,9319800
201305,73504,444799,1,.69,"N","FLORENCE",38.59,-92.98,3835400,9258800
201305,73504,444800,1,0,"N","ELKTON",37.85,-93.43,3751000,9325800
201305,73504,444801,1,1.09,"E","ELDRIDGE",37.83,-92.75,3749800,9245000
201305,73504,444802,1,1.1,"E","MIDWAY",37.03,-92.58,371800,9234800
201305,73504,444803,1,2.3,"WNW","BURNS",37.61,-93.36,3736600,9321600
201305,73504,444804,1,.54,"E","TUSCUMBIA",38.23,-92.46,3813800,9227600
201305,73504,444805,1,2.15,"NNE","SENECA",36.88,-94.59,3652800,9435400
201305,73504,444806,1,.69,"N","URBANA",37.84,-93.17,3750400,9310200
201304,73505,448096,1,9.83,"W","THROCKMORTON",33.18,-99.35,3310800,9921000
201304,73505,448100,1,9.83,"W","THROCKMORTON",33.18,-99.35,3310800,9921000
201304,73505,448119,1,1.16,"E","ELBERT",33.27,-98.98,3316200,9858800
201304,73505,448123,1,.58,"E","ELBERT",33.27,-98.99,3316200,9859400
201304,73505,448129,1,1.5,"NNW","ROSCOE",32.45,-100.54,3227000,10032400
201304,73505,448131,1,0,"N","ROTAN",32.85,-100.47,3251000,10028200
201304,73505,448132,1,0,"N","ROTAN",32.85,-100.47,3251000,10028200
201304,73505,448138,1,1.5,"NNW","POTOSI",32.34,-99.68,3220400,9940800
201304,73506,447361,1,.89,"NW","LAKE TOXAWAY",35.1391,-82.9611,358346,8257666
201304,73506,447362,1,1.49,"NNW","SHERRILLS FORD",35.64,-80.99,3538400,8059400
201304,73506,447367,1,0,"N","MAIDEN",35.58,-81.22,3534800,8113200
201304,73506,447371,1,.92,"SSW","STATESVILLE ARPT",35.758,-80.977,3545480,8058620
201304,73506,447374,1,1.12,"E","MARION",35.68,-82,3540800,8200
201305,73507,444498,1,.53,"W","BROWNVILLE",40.4,-95.66,4024000,9539600
201305,73507,444499,1,1.58,"E","PLYMOUTH",40.3,-96.95,4018000,9657000
201305,73507,444500,1,0,"N","DE WITT",40.4,-96.92,4024000,9655200
201305,73507,444501,1,2.14,"NNE","HOLLAM",40.56,-96.77,4033600,9646200
201305,73507,444629,1,2.61,"NW","NEMAHA",40.36,-95.7,4021600,9542000
201305,73507,444630,1,2.61,"SW","BROWNVILLE",40.37,-95.68,4022200,9540800
201305,73507,444631,1,3.7,"E","THOMPSON",40.07,-97.18,404200,9710800
201305,73507,444632,1,.53,"W","PLYMOUTH",40.3,-96.99,4018000,9659400
201305,73508,444526,1,4.03,"NW","HAMILTON",31.74,-98.17,3144400,9810200
201305,73508,444527,1,0,"N","HAMILTON",31.7,-98.12,3142000,987200
201305,73508,444528,1,0,"N","MOFFAT",31.2,-97.47,3112000,9728200
201305,73508,444529,1,1.59,"NNE","TEMPLE",31.1224,-97.3437,317344,9720622
201305,73508,444530,1,2.06,"E","MIDWAY",31.0844,-97.3856,315064,9723136
201305,73508,444531,1,2.06,"NE","TEMPLE",31.1224,-97.3269,317344,9719614
201305,73508,444532,1,0,"N","WESTPHALIA",31.12,-97.12,317200,977200
201305,73508,445136,1,2.61,"NW","BLACKFOOT",31.9569,-95.8612,3157414,9551672
201305,73508,445136,2,1.45,"NNE","BLACKFOOT",31.9478,-95.8169,3156868,9549014
201305,73508,445136,3,3.42,"N","TENNESSEE COLONY",31.8788,-95.8406,3152728,9550436
201305,73508,445136,4,3.04,"ESE","BETHEL",31.9091,-95.8798,3154546,9552788
201305,73508,445570,1,.69,"S","SILVER CITY",30.89,-96.95,3053400,9657000
201305,73509,444533,1,1,"N","LAMPASAS ARPT",31.1145,-98.2,316870,9812000
201305,73509,445396,1,3.78,"WSW","SIMMONSVILLE",31.0714,-97.7546,314284,9745276
201305,73510,444535,1,2.07,"N","SADLER",33.71,-96.85,3342600,9651000
201305,73511,444536,1,1.3,"WNW","FROST",32.0872,-96.8405,325232,9650430
201305,73511,444537,1,0,"N","FROST",32.08,-96.82,324800,9649200
201305,73511,444538,1,1.21,"NNE","ALLIANCE HALL",31.986,-96.6715,3159160,9640290
201305,73511,444539,1,1,"W","TEAGUE",31.62,-96.297,3137200,9617820
201305,73511,444540,1,1.66,"W","BUFFALO",31.4691,-96.0981,3128146,965886
201305,73512,444541,1,1.95,"SE","TIOGA",48.38,-102.9,4822800,10254000
201305,73512,444542,1,4.15,"S","SOUTH PRAIRIE",47.99,-101.3,4759400,10118000
201305,73512,444543,1,.84,"NW","(JMS)JAMESTOWN MUNI",46.94,-98.69,4656400,9841400
201305,73568,451773,1,0,"N","ATHENS",32.2,-95.85,3212000,9551000
201304,72684,439699,1,0,"N","KILLBUCK",40.5,-81.98,4030000,8158800
201304,72684,439706,1,0,"N","NEW WASHINGTON",40.97,-82.85,4058200,8251000
201304,72685,438577,1,0,"N","FAIR GROVE",37.38,-93.15,3722800,939000
201304,72686,438578,1,1.71,"NE","NORTH VIEW HILL",37.3159,-92.9962,3718954,9259772
201304,72686,438578,2,1.94,"NE","NORTH VIEW HILL",37.3161,-92.991,3718966,9259460
201304,72686,438578,3,1.97,"NE","NORTH VIEW HILL",37.3178,-92.9919,3719068,9259514
201304,72686,438578,4,1.81,"NE","NORTH VIEW HILL",37.3176,-92.9957,3719056,9259742
201304,72686,438579,1,.88,"NE","ANN",37.04,-92.19,372400,9211400
201304,72686,438579,2,.73,"NE","ANN",37.0383,-92.1919,372298,9211514
201304,72686,438579,3,.82,"NE","ANN",37.0379,-92.189,372274,9211340
201304,72686,438579,4,.93,"NE","ANN",37.0393,-92.1878,372358,9211268
201304,72686,438580,1,4.24,"NE","MANSFIELD",37.1663,-92.5294,379978,9231764
201304,72686,438580,2,4.29,"NE","MANSFIELD",37.1664,-92.5283,379984,9231698
201304,72686,438580,3,4.21,"NE","MANSFIELD",37.1653,-92.5288,379918,9231728
201304,72686,438580,4,4.19,"NE","MANSFIELD",37.1656,-92.5299,379936,9231794
201304,72686,438581,1,1.74,"SSW","MINGSVILLE",37.4289,-92.3974,3725734,9223844
201304,72686,438581,2,1.9,"SSW","MINGSVILLE",37.4264,-92.3976,3725584,9223856
201304,72686,438581,3,1.98,"SW","MINGSVILLE",37.4276,-92.4023,3725656,9224138
201304,72686,438581,4,1.85,"SW","MINGSVILLE",37.4289,-92.4007,3725734,9224042
201304,72686,438582,1,1.49,"SSW","BOSTON",37.4,-94.31,3724000,9418600
201304,72686,438582,2,1.77,"SSW","BOSTON",37.397,-94.3142,3723820,9418852
201304,72686,438582,3,1.61,"SSW","BOSTON",37.3973,-94.3066,3723838,9418396
201304,72686,438582,4,1.43,"SSW","BOSTON",37.3998,-94.306,3723988,9418360
201304,72686,438583,1,1.79,"WNW","FAIR GROVE",37.39,-93.18,3723400,9310800
201304,72686,438583,2,1.79,"WNW","FAIR GROVE",37.3867,-93.1814,3723202,9310884
201304,72686,438583,3,2.1,"WNW","FAIR GROVE",37.3876,-93.1871,3723256,9311226
201304,72686,438583,4,2.09,"WNW","FAIR GROVE",37.3912,-93.1854,3723472,9311124
201304,72686,438584,1,1.31,"ESE","LEOTA",36.52,-92.01,3631200,92600
201304,72686,438584,2,1.25,"SE","LEOTA",36.5184,-92.0127,3631104,92762
201304,72686,438584,3,1.1,"ESE","LEOTA",36.5218,-92.013,3631308,92780
201304,72686,438584,4,1.22,"ESE","LEOTA",36.523,-92.0098,3631380,92588
201304,72686,438585,1,3.89,"WNW","PRESCOTT",37.46,-91.99,3727600,9159400
201304,72686,438585,2,3.74,"WNW","PRESCOTT",37.458,-91.9883,3727480,9159298
201304,72686,438585,3,3.65,"NW","PRESCOTT",37.4599,-91.9848,3727594,9159088
201304,72686,438585,4,3.88,"NW","PRESCOTT",37.4621,-91.988,3727726,9159280
201304,72686,438586,1,2.82,"S","ST GEORGE",37.34,-92.44,3720400,9226400
201304,72686,438586,2,3.1,"S","ST GEORGE",37.3357,-92.4409,3720142,9226454
201304,72686,438586,3,3.08,"SSE","ST GEORGE",37.337,-92.4351,3720220,9226106
201304,72686,438586,4,2.88,"SSE","ST GEORGE",37.3402,-92.4346,3720412,9226076
201304,72691,438715,1,10.26,"SW","DURMID",33.308,-115.9313,3318480,11555878
201305,72697,439801,1,0,"N","ROCHESTER",37.22,-86.9,3713200,8654000
201305,72697,439801,2,.71,"SSE","ROCHESTER",37.2103,-86.896,3712618,8653760
201305,72697,439801,3,.82,"ESE","ROCHESTER",37.2139,-86.8874,3712834,8653244
201305,72697,439801,4,.38,"E","ROCHESTER",37.22,-86.893,3713200,8653580
201305,72697,439802,1,.86,"ENE","WOODBURY",37.1864,-86.6366,3711184,8638196
201305,72697,439802,2,1.31,"ENE","WOODBURY",37.1887,-86.6289,3711322,8637734
201305,72697,439802,3,1.41,"E","WOODBURY",37.1834,-86.6248,3711004,8637488
201305,72697,439802,4,.83,"E","WOODBURY",37.1817,-86.6351,3710902,8638106
201304,72702,438660,1,4.94,"WSW","PARADISE",39.0867,-99.0014,395202,9984
201304,72702,438660,2,4.46,"WSW","PARADISE",39.0911,-98.9944,395466,9859664
201303,72703,438661,1,.79,"NNW","CATON FARM",41.5799,-88.2577,4134794,8815462
201303,72703,438661,2,.85,"NNW","CATON FARM",41.5816,-88.2559,4134896,8815354
201303,72703,438661,3,.69,"NNW","CATON FARM",41.579,-88.2556,4134740,8815336
201303,72703,438661,4,.7,"NNW","CATON FARM",41.5784,-88.2574,4134704,8815444
201303,72703,438662,1,.16,"NNE","COLONIAL GARDENS",42.3519,-89.0483,4221114,892898
201303,72703,438662,2,.22,"ENE","COLONIAL GARDENS",42.3515,-89.0462,4221090,892772
201303,72703,438662,3,.69,"S","COLONIAL GARDENS",42.3402,-89.0521,4220412,893126
201303,72703,438662,4,.7,"SSW","COLONIAL GARDENS",42.3402,-89.0534,4220412,893204
201305,72706,438696,1,0,"N","HOT SPGS",34.5,-93.05,3430000,933000
201304,72710,441870,1,.69,"N","ERIE",41.66,-90.08,4139600,904800
201304,72710,441872,1,.52,"E","GALVA",41.17,-90.04,4110200,902400
201304,72711,441875,1,2.31,"SSW","CEDAR RAPIDS",41.97,-91.67,4158200,9140200
201304,72711,441876,1,.86,"NE","CEDAR RAPIDS",42.01,-91.64,42600,9138400
201304,72711,441877,1,2.31,"SSW","CEDAR RAPIDS",41.97,-91.67,4158200,9140200
201304,72711,441878,1,.69,"S","BELLE PLAINE",41.89,-92.28,4153400,9216800
201304,72711,441879,1,2.07,"NW","SOUTH GARRY OWEN",42.25,-90.83,4215000,9049800
201304,72712,441881,1,2.96,"NNW","PANORAMA PARK",41.5885,-90.4949,4135310,9029694
201304,72713,441884,1,.69,"S","STERLING ARPT",41.74,-89.68,4144400,8940800
201304,72714,445232,1,.52,"E","WASHINGTON",41.3,-91.69,4118000,9141400
201304,72714,445233,1,1.04,"W","FAIRFIELD",41,-92,4100,9200
201304,72714,445234,1,.86,"NE","LOWDEN",41.86,-90.92,4151600,9055200
201304,72714,445236,1,4.17,"NW","NOBLE",41.21,-91.69,4112600,9141400
