YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201306,73483,444306,1,5.36,"SSW","PROVIDENCE",33.33,-80.59,3319800,8035400
201306,73483,444306,2,5.95,"SSW","PROVIDENCE",33.3179,-80.5814,3319074,8034884
201306,73483,444307,1,5.36,"SSW","PROVIDENCE",33.33,-80.59,3319800,8035400
201306,73483,444307,2,6.3,"SW","WELLS",33.3082,-80.5604,3318492,8033624
201306,73483,444309,1,3.1,"NE","BOWMAN",33.38,-80.64,3322800,8038400
201306,73483,444309,2,5.91,"SW","WELLS",33.3133,-80.5566,3318798,8033396
201306,73484,444308,1,.48,"SSE","MUSCLE SHOALS",34.7434,-87.6674,3444604,8740044
201306,73484,444308,2,.27,"SSE","MUSCLE SHOALS",34.7464,-87.6681,3444784,8740086
201306,73484,444308,3,.36,"SE","MUSCLE SHOALS",34.7458,-87.6662,3444748,8739972
201306,73484,444308,4,.52,"SSE","MUSCLE SHOALS",34.7431,-87.6663,3444586,8739978
201306,73484,444313,1,.62,"E","VALDOSTA",34.7187,-87.7093,3443122,8742558
201306,73484,444313,2,.62,"E","VALDOSTA",34.7193,-87.709,3443158,8742540
201306,73484,444313,3,.67,"E","VALDOSTA",34.7185,-87.7084,3443110,8742504
201306,73484,444313,4,.63,"E","VALDOSTA",34.7184,-87.7092,3443104,8742552
201306,73484,459667,1,0,"N","MUSCLE SHOALS",34.75,-87.67,3445000,8740200
201306,73484,459670,1,.57,"W","HOBGOOD SIDING",34.72,-87.64,3443200,8738400
201306,73484,459672,1,5,"SSW","TUSCUMBIA",34.6631,-87.7337,3439786,8744022
201306,73484,459673,1,1.49,"SSW","SHEFFIELD",34.75,-87.71,3445000,8742600
201306,73484,459674,1,1.33,"WNW","NORALA JCT",34.73,-87.67,3443800,8740200
201306,73484,459675,1,.69,"S","MUSCLE SHOALS",34.74,-87.67,3444400,8740200
201306,73484,459675,2,.64,"SSE","MUSCLE SHOALS",34.741,-87.6673,3444460,8740038
201306,73484,459675,3,.72,"SSE","MUSCLE SHOALS",34.7399,-87.6668,3444394,8740008
201306,73484,459675,4,.73,"S","MUSCLE SHOALS",34.7395,-87.6685,3444370,8740110
201306,73484,459709,1,2,"ENE","FLORENCE",34.8111,-87.6374,3448666,8738244
201306,73484,459711,1,1,"NNW","FLORENCE",34.8134,-87.6768,3448804,8740608
201306,73484,459713,1,2,"N","CHEROKEE",34.779,-87.97,3446740,8758200
201306,73484,459715,1,1.13,"W","JACKSONBURG",34.88,-87.69,3452800,8741400
201306,73484,459716,1,5,"N","FLORENCE",34.8724,-87.67,3452344,8740200
201306,73484,459716,2,.45,"S","JACKSONBURG",34.8735,-87.6688,3452410,8740128
201306,73484,459716,3,.53,"SSE","JACKSONBURG",34.8726,-87.6678,3452356,8740068
201306,73484,459716,4,.56,"S","JACKSONBURG",34.8719,-87.669,3452314,8740140
201306,73485,444314,1,6.61,"NE","STOCKTON",34.21,-80.49,3412600,8029400
201306,73485,444314,2,8.01,"ENE","STOCKTON",34.1973,-80.452,3411838,8027120
201306,73485,444314,3,8.58,"ESE","CAMDEN WOODWARD ARPT",34.2122,-80.4442,3412732,8026652
201306,73485,444314,4,7.18,"SE","CAMDEN WOODWARD ARPT",34.2169,-80.4701,3413014,8028206
201306,73485,444315,1,5.1,"ESE","CAMDEN",34.2169,-80.5202,3413014,8031212
201306,73485,444315,2,4.98,"SE","CAMDEN WOODWARD ARPT",34.2213,-80.5195,3413278,8031170
201306,73485,444315,3,4.22,"ESE","CAMDEN",34.2215,-80.5346,3413290,8032076
201306,73485,444315,4,4.4,"ESE","CAMDEN",34.2177,-80.5337,3413062,8032022
201304,73487,444413,1,2.64,"SE","MAIZE",37.74,-97.44,3744400,9726400
201304,73487,444414,1,5.15,"SE","(AAO) JABARA ARPT",37.7,-97.15,3742000,979000
